iter	Logloss
0	0.1985229552
1	0.1983660192
2	0.1981526927
3	0.1980285532
4	0.1979271175
5	0.1979149657
6	0.1977458901
7	0.1977341607
8	0.1975241722
9	0.1974169917
10	0.1972431527
11	0.1971576738
12	0.197022771
13	0.197009448
14	0.1969545957
15	0.1969070171
16	0.1967726378
17	0.1966094728
18	0.1965997701
19	0.1964771963
20	0.1963009975
21	0.196136742
22	0.1959704836
23	0.1957699681
24	0.1955567219
25	0.1954656541
26	0.1952752238
27	0.1951499413
28	0.194952766
29	0.1948686163
30	0.1947529352
31	0.1945796977
32	0.194258885
33	0.1940714131
34	0.1940195386
35	0.1938509382
36	0.193691562
37	0.1936247738
38	0.1934031691
39	0.1933961069
40	0.193221807
41	0.1931758428
42	0.1931261534
43	0.1930788563
44	0.1930670843
45	0.1929956461
46	0.1928193153
47	0.1926857189
48	0.1926563714
49	0.1925863581
50	0.1925805242
51	0.1925410976
52	0.1923940465
53	0.1921597187
54	0.192040586
55	0.1918443833
56	0.1918223155
57	0.1917453473
58	0.1915646506
59	0.1914883602
60	0.191460505
61	0.1912647824
62	0.1910904585
63	0.1910427079
64	0.1910380588
65	0.1909683737
66	0.1908504935
67	0.1906610384
68	0.1905785366
69	0.1904363023
70	0.1903079357
71	0.1902887359
72	0.1901365753
73	0.1900958667
74	0.1900395262
75	0.1898183157
76	0.1898070543
77	0.1896563333
78	0.1896302973
79	0.189515638
80	0.1894588316
81	0.1894063079
82	0.1893150239
83	0.1892019881
84	0.1891124637
85	0.1889134633
86	0.1887563812
87	0.1887249938
88	0.1886866454
89	0.1886416389
90	0.1885662074
91	0.1884569119
92	0.1882745273
93	0.1881138205
94	0.1879915968
95	0.1879551417
96	0.1878584348
97	0.1877956314
98	0.1877912589
99	0.1876814546
