iter	Passed	Remaining
0	3	377
1	5	291
2	6	225
3	7	190
4	8	167
5	9	144
6	10	134
7	10	120
8	11	113
9	11	107
10	12	102
11	13	98
12	14	94
13	14	90
14	16	91
15	16	88
16	17	86
17	18	84
18	18	80
19	19	79
20	20	77
21	21	77
22	22	75
23	23	74
24	24	72
25	24	71
26	25	69
27	26	68
28	27	68
29	28	67
30	29	66
31	30	65
32	31	64
33	33	64
34	33	62
35	35	62
36	36	61
37	37	60
38	38	59
39	38	57
40	39	56
41	40	55
42	41	54
43	41	53
44	42	51
45	43	50
46	44	49
47	45	49
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	43
54	51	42
55	52	41
56	53	40
57	54	39
58	55	38
59	55	37
60	56	36
61	57	35
62	58	34
63	59	33
64	59	32
65	60	31
66	61	30
67	63	29
68	64	28
69	66	28
70	66	27
71	67	26
72	68	25
73	68	24
74	69	23
75	70	22
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	77	13
85	78	12
86	79	11
87	80	10
88	80	9
89	81	9
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	87	1
98	88	0
99	89	0
