iter	Passed	Remaining
0	0	84
1	1	63
2	1	53
3	2	49
4	2	47
5	2	42
6	3	41
7	3	37
8	3	37
9	4	39
10	4	37
11	5	36
12	5	36
13	5	36
14	6	35
15	6	35
16	6	34
17	7	34
18	8	37
19	9	38
20	10	38
21	10	37
22	10	36
23	11	36
24	11	35
25	12	35
26	12	34
27	13	33
28	13	32
29	13	31
30	14	31
31	14	30
32	14	30
33	15	29
34	15	28
35	15	28
36	16	27
37	16	26
38	16	26
39	17	25
40	17	25
41	17	24
42	18	24
43	18	23
44	18	22
45	19	22
46	19	22
47	20	21
48	20	21
49	20	20
50	21	20
51	21	19
52	21	19
53	21	18
54	22	18
55	22	17
56	22	17
57	23	16
58	23	16
59	24	16
60	24	15
61	24	15
62	24	14
63	25	14
64	25	13
65	26	13
66	26	13
67	27	12
68	27	12
69	27	11
70	28	11
71	28	11
72	29	10
73	29	10
74	29	9
75	29	9
76	30	9
77	30	8
78	30	8
79	31	7
80	31	7
81	31	6
82	32	6
83	32	6
84	32	5
85	33	5
86	33	5
87	34	4
88	34	4
89	35	3
90	35	3
91	35	3
92	36	2
93	36	2
94	36	1
95	37	1
96	37	1
97	37	0
98	38	0
99	38	0
